     1.000000    0.020196
     0.993107    0.019843
     0.980970    0.019081
     0.967607    0.018768
     0.953502    0.019199
     0.938529    0.020331
     0.922818    0.021993
     0.906664    0.024089
     0.890264    0.026544
     0.873786    0.029318
     0.857190    0.032428
     0.840295    0.035847
     0.823127    0.039459
     0.805933    0.043174
     0.788809    0.047009
     0.771644    0.050998
     0.754351    0.055119
     0.736944    0.059328
     0.719477    0.063579
     0.702060    0.067793
     0.684671    0.071932
     0.667213    0.076024
     0.649660    0.080102
     0.632058    0.084182
     0.614484    0.088256
     0.597056    0.092282
     0.579859    0.096172
     0.562801    0.099876
     0.545729    0.103411
     0.528637    0.106803
     0.511668    0.110017
     0.494924    0.112979
     0.478401    0.115625
     0.462055    0.117912
     0.445834    0.119810
     0.429643    0.121298
     0.413342    0.122386
     0.396814    0.123119
     0.380071    0.123556
     0.363252    0.123734
     0.346563    0.123649
     0.330194    0.123253
     0.314151    0.122447
     0.298160    0.121156
     0.281928    0.119415
     0.265515    0.117333
     0.249210    0.114955
     0.233081    0.112227
     0.217008    0.109114
     0.200933    0.105628
     0.184864    0.101790
     0.168826    0.097620
     0.152877    0.093139
     0.137050    0.088354
     0.121490    0.083329
     0.106507    0.078106
     0.092227    0.072603
     0.078604    0.066718
     0.065633    0.060434
     0.053490    0.053833
     0.042394    0.046999
     0.032592    0.040197
     0.024450    0.033864
     0.018071    0.028200
     0.013216    0.023204
     0.009548    0.018848
     0.006761    0.015080
     0.004618    0.011821
     0.002955    0.008982
     0.001678    0.006468
     0.000752    0.004192
     0.000183    0.002084
    -0.000002    0.000128
     0.000225   -0.001782
     0.000947   -0.003682
     0.002206   -0.005473
     0.003990   -0.007081
     0.006285   -0.008492
     0.009119   -0.009738
     0.012593   -0.010883
     0.016902   -0.011990
     0.022369   -0.013093
     0.029494   -0.014185
     0.038967   -0.015260
     0.051310   -0.016358
     0.066051   -0.017412
     0.082181   -0.018262
     0.099122   -0.018896
     0.116584   -0.019398
     0.134236   -0.019823
     0.151928   -0.020142
     0.169755   -0.020372
     0.187651   -0.020563
     0.205495   -0.020698
     0.223337   -0.020758
     0.241203   -0.020760
     0.259011   -0.020704
     0.276765   -0.020556
     0.294604   -0.020315
     0.312563   -0.020036
     0.330525   -0.019785
     0.348527   -0.019570
     0.366514   -0.019354
     0.384450   -0.019092
     0.402432   -0.018779
     0.420480   -0.018450
     0.438532   -0.018132
     0.456534   -0.017809
     0.474455   -0.017447
     0.492354   -0.017027
     0.510283   -0.016554
     0.528258   -0.016037
     0.546291   -0.015493
     0.564341   -0.014948
     0.582362   -0.014415
     0.600268   -0.013868
     0.618043   -0.013251
     0.635812   -0.012537
     0.653670   -0.011746
     0.671587   -0.010909
     0.689521   -0.010029
     0.707500   -0.009110
     0.725490   -0.008178
     0.743326   -0.007235
     0.760924   -0.006212
     0.778444   -0.005038
     0.796117   -0.003721
     0.813964   -0.002343
     0.831780   -0.000986
     0.849286    0.000381
     0.866405    0.001922
     0.883606    0.003740
     0.901010    0.005647
     0.918095    0.007526
     0.934662    0.009663
     0.951254    0.012138
     0.967387    0.014676
     0.981723    0.016860
     0.993384    0.018963
     1.000000    0.020007
